text,urgency_prediction,urgency_confidence,hazard_prediction,hazard_confidence,extracted_entities,reason_flagged,resolution
Road blockage reported near highway junction. Send tow truck.,MEDIUM,0.4372,Road Blockage,0.9991,"{""location"": [""highway""], ""resource_needed"": [""tow truck""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
URGENT! 12 people trapped in landslide. Send ambulance and rescue team.,CRITICAL,0.7609,Rescue Emergency,0.3424,"{""location"": null, ""resource_needed"": [""rescue team""], ""headcount"": 12}",LOW_HAZARD_CONFIDENCE; MISSING_CRITICAL_LOCATION,PENDING_REVIEW
Call 1 text,MEDIUM,0.2886,Flood,0.2734,"{""location"": null, ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
Call 2 text,MEDIUM,0.2886,Flood,0.2734,"{""location"": null, ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near ambala 3 people need assistance,LOW,0.3299,Heavy Rainfall,0.9933,"{""location"": [""ambala""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near raipur please send rescue teams,CRITICAL,0.4174,Earthquake,0.984,"{""location"": [""raipur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near raigad,CRITICAL,0.2639,Wildfire,0.9902,"{""location"": [""raigad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near mumbai 5 people need evacuation support,LOW,0.3555,Cyclone,0.9929,"{""location"": [""mumbai""], ""resource_needed"": [""evacuation""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near jabalpur 4 people need assistance,MEDIUM,0.3883,Heavy Rainfall,0.9942,"{""location"": [""jabalpur""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near dhemaji please send rescue teams,CRITICAL,0.3723,Earthquake,0.9955,"{""location"": [""dhemaji""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near malda 12 people need assistance,CRITICAL,0.5337,Heavy Rainfall,0.9967,"{""location"": [""malda""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near nellore rescue teams are urgently needed,LOW,0.2724,Landslide,0.9944,"{""location"": [""nellore""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near visakhapatnam 4 people need immediate rescue,CRITICAL,0.3642,Flood,0.6796,"{""location"": [""visakhapatnam""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near thanjavur rescue teams are urgently needed,LOW,0.4272,Landslide,0.9976,"{""location"": [""thanjavur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near srikakulam 12 people need assistance,CRITICAL,0.4534,Heavy Rainfall,0.9961,"{""location"": [""srikakulam""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near kakinada 0 people need assistance,MEDIUM,0.3851,Heavy Rainfall,0.9933,"{""location"": [""kakinada""], ""resource_needed"": [], ""headcount"": 0}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around deoghar residents need immediate evacuation,CRITICAL,0.2711,Tsunami,0.996,"{""location"": [""deoghar""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near ganjam please send rescue teams,CRITICAL,0.3005,Earthquake,0.9875,"{""location"": [""ganjam""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near vijayawada please arrange evacuation immediately,CRITICAL,0.3959,Cyclone,0.9934,"{""location"": [""vijayawada""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around faridabad please send a rescue team for 5 people,MEDIUM,0.4063,Flood,0.7097,"{""location"": [""faridabad""], ""resource_needed"": [""rescue team""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near jorhat residents need immediate evacuation,CRITICAL,0.4509,Wildfire,0.9965,"{""location"": [""jorhat""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near darbhanga 0 people need medical assistance,MEDIUM,0.3717,Lightning,0.9945,"{""location"": [""darbhanga""], ""resource_needed"": [], ""headcount"": 0}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near vijayawada need rescue assistance due to severe weather,CRITICAL,0.3089,Cyclone,0.9891,"{""location"": [""vijayawada""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near durg need emergency assistance,CRITICAL,0.3896,Landslide,0.9958,"{""location"": [""durg""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near panipat 4 people need emergency assistance,CRITICAL,0.3928,Earthquake,0.9894,"{""location"": [""panipat""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near wayanad 1 people need assistance,LOW,0.2947,Heavy Rainfall,0.9942,"{""location"": [""wayanad""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around wayanad please send a rescue team for 10 people,HIGH,0.4436,Flood,0.6764,"{""location"": [""wayanad""], ""resource_needed"": [""rescue team""], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near belagavi 3 people need medical assistance,LOW,0.2982,Lightning,0.9905,"{""location"": [""belagavi""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near rajkot we need a rescue boat immediately,MEDIUM,0.2696,Flood,0.6597,"{""location"": [""rajkot""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around kochi residents need drinking water,HIGH,0.3001,Drought,0.9948,"{""location"": [""kochi""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around bhavnagar residents need drinking water,HIGH,0.2943,Drought,0.9975,"{""location"": [""bhavnagar""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near purnia 5 people need assistance,CRITICAL,0.388,Heavy Rainfall,0.9926,"{""location"": [""purnia""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near guwahati 3 people may be trapped,HIGH,0.4915,Landslide,0.9934,"{""location"": [""guwahati""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near wayanad 12 people need medical assistance,HIGH,0.502,Lightning,0.9952,"{""location"": [""wayanad""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near ajmer 2 people need evacuation support,LOW,0.3081,Cyclone,0.9922,"{""location"": [""ajmer""], ""resource_needed"": [""evacuation""], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near patiala 2 people need medical assistance,CRITICAL,0.3433,Lightning,0.993,"{""location"": [""patiala""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near khammam 10 people may be trapped,CRITICAL,0.385,Landslide,0.9784,"{""location"": [""khammam""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around south 24 parganas please send water tankers,HIGH,0.363,Drought,0.9787,"{""location"": [""south 24 parganas""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near nellore need rescue assistance due to severe weather,MEDIUM,0.2938,Cyclone,0.9927,"{""location"": [""nellore""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near south 24 parganas please send rescue teams,HIGH,0.356,Earthquake,0.9648,"{""location"": [""south 24 parganas""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around haridwar are requesting emergency shelter,CRITICAL,0.3343,Cyclone,0.9664,"{""location"": [""haridwar""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around kolkata emergency rescue support is required,LOW,0.2882,Heavy Rainfall,0.9945,"{""location"": [""kolkata""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near chamba rescue teams are urgently needed,LOW,0.3534,Landslide,0.9974,"{""location"": [""chamba""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around prayagraj are requesting emergency shelter,CRITICAL,0.3265,Cyclone,0.9807,"{""location"": [""prayagraj""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near guwahati,HIGH,0.3403,Wildfire,0.9932,"{""location"": [""guwahati""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around ambala please send a rescue team for 1 people,MEDIUM,0.365,Flood,0.7469,"{""location"": [""ambala""], ""resource_needed"": [""rescue team""], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near shimla we need a rescue boat immediately,MEDIUM,0.3041,Flood,0.6503,"{""location"": [""shimla""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
