post_id,timestamp,platform,text,author_type,post_type,state,district,location_mentioned,language,country,source_type,source_portal,source_url,source_event_id
IND_SOCIAL_00001,2026-05-04 12:32:00,Facebook,Strong tremors reported in Kochi. Residents are requesting emergency assistance.,Resident,Help Request,Kerala,Kochi,Kochi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9935
IND_SOCIAL_00002,2026-02-12 16:30:00,X,Smoke and fire spreading near Kollam. Residents may need evacuation support.,Citizen,Distress Call,Kerala,Kollam,Kollam,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9279
IND_SOCIAL_00003,2026-04-18 14:32:00,Telegram,Debris is blocking the road in Ahmedabad. People are requesting immediate assistance.,Local Reporter,Help Request,Gujarat,Ahmedabad,Ahmedabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5557
IND_SOCIAL_00004,2026-06-24 14:07:00,Instagram,Smoke and fire spreading near Erode. Residents may need evacuation support.,Volunteer,Help Request,Tamil Nadu,Erode,Erode,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6514
IND_SOCIAL_00005,2026-05-28 06:23:00,X,Wildfire situation reported around Kochi. Emergency response is required.,Volunteer,Situation Report,Kerala,Kochi,Kochi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1711
IND_SOCIAL_00006,2026-04-16 10:29:00,X,Wildfire situation reported around Guwahati. Emergency response is required.,Community Group,Situation Report,Assam,Guwahati,Guwahati,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4150
IND_SOCIAL_00007,2026-03-11 12:47:00,Instagram,Landslide reported near Kochi. Road access is blocked and people need help.,Citizen,Help Request,Kerala,Kochi,Kochi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5554
IND_SOCIAL_00008,2026-05-09 02:17:00,Instagram,Rainfall situation is worsening in Silchar. Please send rescue support if required.,Volunteer,Help Request,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2169
IND_SOCIAL_00009,2026-06-18 19:05:00,Facebook,Residents near Surat are reporting a major landslide. Please send emergency teams.,Local Reporter,Safety Update,Gujarat,Surat,Surat,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4598
IND_SOCIAL_00010,2026-01-13 09:10:00,X,Residents near Bhubaneswar are reporting a major landslide. Please send emergency teams.,Volunteer,Safety Update,Odisha,Bhubaneswar,Bhubaneswar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4456
IND_SOCIAL_00011,2026-01-27 08:12:00,WhatsApp,Debris is blocking the road in Vadodara. People are requesting immediate assistance.,Local Reporter,Resource Request,Gujarat,Vadodara,Vadodara,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5339
IND_SOCIAL_00012,2026-03-08 05:35:00,Telegram,Emergency support requested from Mysuru after earthquake tremors.,Local Reporter,Missing Person,Karnataka,Mysuru,Mysuru,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4593
IND_SOCIAL_00013,2026-04-25 13:21:00,X,Tsunami warning situation reported near Belagavi. Residents should move to safer areas.,Citizen,Distress Call,Karnataka,Belagavi,Belagavi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3621
IND_SOCIAL_00014,2026-04-07 15:44:00,WhatsApp,"Several families in Asansol need food, water and shelter.",Local Reporter,Missing Person,West Bengal,Asansol,Asansol,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5119
IND_SOCIAL_00015,2026-01-21 15:22:00,Telegram,Cyclone impact reported around Mumbai. Emergency teams are needed.,Volunteer,Resource Request,Maharashtra,Mumbai,Mumbai,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5808
