scenario_id,scenario,zone_id,label,state,district,true_severity,hazards,modifiers,has_sensors,has_text,has_image,has_water_history,text_entries,headcount_reported,beyond_record_fields,evidence_lost,rainfall_mm,river_level_m,river_level_threshold_m,emergency_calls,road_closures,bridge_closures,flood_history_count,population_affected,water_level_change_m,expected_status,expected_min_priority,expected_max_priority
S01,Baseline river overflow,ZONE-1,Riverside ward,Bihar,Muzaffarpur,CRITICAL,Flood; Rescue Emergency,river_overflow,True,True,True,True,5,177,,,44.732,7.431,5.383,48.0,0.0,2.0,4.0,4071.0,0.243,ok,URGENT,
S01,Baseline river overflow,ZONE-2,Market ward,Bihar,Bhagalpur,URGENT,Flood,river_overflow,True,True,False,True,3,50,,,35.602,6.235,6.021,47.0,1.0,0.0,7.0,1942.0,0.408,ok,ELEVATED,
S01,Baseline river overflow,ZONE-3,Upland ward,Bihar,Patna,ELEVATED,Flood,,True,True,False,True,3,23,,,49.077,1.534,4.59,35.0,1.0,1.0,4.0,1380.0,0.324,ok,,
S02,The 2 AM mission,ZONE-1,Riverside settlement,Assam,Jorhat,CRITICAL,Flood; Rescue Emergency,flash_flood,True,True,True,True,5,183,water_level_change_m,,45.854,8.826,6.091,52.0,3.0,1.0,4.0,2613.0,0.555,ok,URGENT,
S02,The 2 AM mission,ZONE-2,Low-lying colony,Assam,Jorhat,CRITICAL,Flood; Rescue Emergency,flash_flood; implicit_urgency,True,True,False,True,5,173,water_level_change_m,,45.104,7.856,4.297,41.0,1.0,2.0,7.0,3106.0,0.63,ok,URGENT,
S02,The 2 AM mission,ZONE-3,Old town,Assam,Jorhat,URGENT,Flood; Medical Emergency,river_overflow,True,True,False,True,3,43,,,18.482,6.553,4.384,30.0,0.0,0.0,2.0,1733.0,0.309,ok,ELEVATED,
S03,Cyclonic coastal landfall,ZONE-1,Coastal block,Odisha,Puri,CRITICAL,Flood; Rescue Emergency,cyclonic_rain,True,True,True,True,4,131,,,51.489,7.987,4.899,43.0,5.0,2.0,7.0,3429.0,0.457,ok,URGENT,
S03,Cyclonic coastal landfall,ZONE-2,Fishing villages,Odisha,Kendrapara,CRITICAL,Rescue Emergency; Medical Emergency,cyclonic_rain,True,True,False,True,4,200,,,7.361,8.259,5.208,31.0,1.0,0.0,7.0,1773.0,0.642,ok,URGENT,
S03,Cyclonic coastal landfall,ZONE-3,Highway corridor,Odisha,Cuttack,URGENT,Road Blockage; Flood,cyclonic_rain,True,True,False,True,3,46,,,11.26,7.958,5.713,22.0,3.0,0.0,6.0,2167.0,1.132,ok,ELEVATED,
S03,Cyclonic coastal landfall,ZONE-4,Inland town,Odisha,Balasore,ELEVATED,Flood,,True,True,True,True,3,23,,,19.149,1.317,6.919,33.0,2.0,1.0,2.0,1657.0,0.183,ok,,
S04,Urban cloudburst waterlogging,ZONE-1,Central wards,Maharashtra,Mumbai,URGENT,Flood; Road Blockage,urban_waterlogging,True,True,True,True,4,63,,,25.764,7.891,6.352,30.0,1.0,0.0,8.0,2001.0,-0.238,ok,ELEVATED,
S04,Urban cloudburst waterlogging,ZONE-2,Suburban junctions,Maharashtra,Kolhapur,ELEVATED,Road Blockage,urban_waterlogging,True,True,False,True,3,18,,,17.054,1.039,5.353,34.0,1.0,0.0,4.0,1263.0,1.051,ok,,
S05,Negated flood rumour,ZONE-1,Backwater ward,Kerala,Thrissur,ROUTINE,Flood,calm; negation_text,True,True,True,True,2,5,,,25.038,1.611,6.261,34.0,0.0,1.0,1.0,1019.0,0.109,ok,,ELEVATED
S05,Negated flood rumour,ZONE-2,Hill ward,Kerala,Kottayam,ROUTINE,Flood,calm,True,True,False,True,1,3,,,8.43,1.256,5.461,28.0,0.0,0.0,8.0,234.0,0.267,ok,,ELEVATED
S06,Silent rise while residents sleep,ZONE-1,Floodplain village,Uttar Pradesh,Varanasi,CRITICAL,Flood,silent_rise,True,False,False,True,0,0,,,12.955,8.14,4.298,27.0,4.0,2.0,2.0,2146.0,0.383,ok,URGENT,
S06,Silent rise while residents sleep,ZONE-2,Riverside hamlet,Uttar Pradesh,Prayagraj,URGENT,Flood,silent_rise,True,False,False,True,0,0,,,14.218,7.835,6.453,29.0,1.0,1.0,4.0,2052.0,0.398,ok,ELEVATED,
S07,Telemetry dropout,ZONE-1,Char lands,West Bengal,Kolkata,CRITICAL,Flood; Rescue Emergency,river_overflow,False,True,False,False,4,181,,,,,,,,,,,,ok,URGENT,
S07,Telemetry dropout,ZONE-2,Canal colony,West Bengal,Murshidabad,URGENT,Flood,implicit_urgency; river_overflow,False,True,False,False,4,46,,,,,,,,,,,,ok,ELEVATED,
S07,Telemetry dropout,ZONE-3,Town centre,West Bengal,Malda,ELEVATED,Flood,,True,True,False,True,3,20,,,18.164,2.186,6.491,35.0,0.0,1.0,7.0,1672.0,-0.061,ok,,
S08,Gauge logger malfunction,ZONE-1,Faulty-gauge reach,Gujarat,Bharuch,ELEVATED,Flood,gauge_malfunction,True,True,False,True,2,17,,,23.399,4.29,6.332,32.0,1.0,1.0,2.0,1842.0,0.296,ok,,URGENT
S08,Gauge logger malfunction,ZONE-2,Downstream reach,Gujarat,Vadodara,URGENT,Flood,river_overflow,True,True,False,True,4,69,,,55.222,7.91,5.856,46.0,1.0,2.0,1.0,3459.0,0.221,ok,ELEVATED,
S09,People versus sensors,ZONE-1,Lagging-gauge valley,Karnataka,Mangaluru,CRITICAL,Rescue Emergency; Flood,,True,True,False,True,4,217,,,10.157,8.649,4.249,24.0,5.0,1.0,3.0,3131.0,0.657,ok,URGENT,
S09,People versus sensors,ZONE-2,Prank-message town,Karnataka,Mysuru,ROUTINE,Flood,calm; false_alarm_text,True,True,False,True,1,3,,,26.44,1.636,5.671,21.0,0.0,1.0,2.0,1327.0,-0.025,ok,,
S10,Camera versus gauge,ZONE-1,Flooded-camera ward,Tamil Nadu,Thanjavur,URGENT,Flood,,True,True,True,True,3,57,,,70.985,8.235,5.967,58.0,4.0,1.0,5.0,3194.0,0.049,ok,ELEVATED,
S10,Camera versus gauge,ZONE-2,Dry-camera ward,Tamil Nadu,Chennai,ELEVATED,Flood,,True,True,True,True,3,21,,,19.919,2.051,4.588,31.0,2.0,0.0,7.0,1404.0,1.275,ok,,
S11,Receding but still flooded,ZONE-1,Inundated colony,Bihar,Muzaffarpur,URGENT,Flood; Rescue Emergency,receding,True,True,True,True,3,54,,,36.987,7.524,6.006,32.0,3.0,1.0,3.0,3218.0,1.081,ok,URGENT,
S11,Receding but still flooded,ZONE-2,Drying fringe,Bihar,Darbhanga,ELEVATED,Flood,receding,True,True,False,True,2,17,,,5.476,2.947,4.02,24.0,2.0,2.0,7.0,67.0,-0.572,ok,,
S12,Bridge collapse isolation,ZONE-1,Cut-off valley,Karnataka,Bengaluru,CRITICAL,Road Blockage; Rescue Emergency; Medical Emergency,bridge_collapse; river_overflow,True,True,True,True,5,160,bridge_closures,,25.229,8.049,6.072,34.0,1.0,2.0,7.0,2158.0,-0.197,ok,URGENT,
S12,Bridge collapse isolation,ZONE-2,Approach road,Karnataka,Udupi,URGENT,Road Blockage,bridge_collapse,True,True,False,True,3,60,bridge_closures,,103.929,5.931,5.006,61.0,4.0,2.0,3.0,4547.0,0.838,ok,ELEVATED,
S13,Hospital ground floor flooding,ZONE-1,Hospital campus,Maharashtra,Nashik,CRITICAL,Flood; Medical Emergency,mass_casualty; river_overflow,True,True,True,True,4,1111,population_affected,,43.62,8.29,5.876,49.0,1.0,1.0,6.0,3371.0,-0.313,ok,URGENT,
S13,Hospital ground floor flooding,ZONE-2,Clinic district,Maharashtra,Pune,ELEVATED,Medical Emergency,,True,True,False,True,3,20,,,25.737,2.843,5.318,37.0,1.0,1.0,4.0,1658.0,-0.27,ok,,
S14,Night dam spillway release,ZONE-1,Spillway reach,Kerala,Kottayam,CRITICAL,Flood; Rescue Emergency,dam_release,True,True,True,True,5,252,water_level_change_m,,18.44,7.499,5.129,34.0,1.0,1.0,1.0,1952.0,0.423,ok,URGENT,
S14,Night dam spillway release,ZONE-2,Island ward,Kerala,Alappuzha,CRITICAL,Flood,dam_release,True,True,False,True,4,202,water_level_change_m,,12.454,7.441,4.104,24.0,0.0,1.0,7.0,1589.0,0.088,ok,URGENT,
S14,Night dam spillway release,ZONE-3,Lower reach,Kerala,Thrissur,URGENT,Flood,river_overflow,True,True,False,True,4,68,,,58.241,5.837,5.927,40.0,1.0,2.0,8.0,2608.0,0.874,ok,ELEVATED,
S15,Five-state monsoon cascade,ZONE-1,Brahmaputra plain,Assam,Dibrugarh,CRITICAL,Flood; Rescue Emergency,river_overflow,True,True,True,True,5,221,,,18.437,8.422,6.924,40.0,1.0,0.0,7.0,1421.0,0.673,ok,URGENT,
S15,Five-state monsoon cascade,ZONE-2,Kosi basin,Bihar,Patna,URGENT,Flood,river_overflow,True,True,False,True,3,49,,,6.373,6.746,6.328,38.0,5.0,1.0,2.0,1555.0,0.447,ok,ELEVATED,
S15,Five-state monsoon cascade,ZONE-3,Delta towns,West Bengal,Murshidabad,URGENT,Flood; Road Blockage,,True,True,False,True,4,62,,,6.483,4.64,4.274,29.0,3.0,0.0,5.0,2775.0,0.135,ok,ELEVATED,
S15,Five-state monsoon cascade,ZONE-4,Mahanadi upland,Odisha,Bhubaneswar,ELEVATED,Flood,,True,True,False,True,2,16,,,41.407,2.054,4.878,30.0,0.0,0.0,0.0,3747.0,0.674,ok,,
S15,Five-state monsoon cascade,ZONE-5,Doab farmland,Uttar Pradesh,Kanpur,ROUTINE,Flood,calm,True,True,True,True,2,9,,,21.297,1.206,4.274,33.0,1.0,1.0,4.0,1983.0,0.599,ok,,
S16,Out-of-season cloudburst,ZONE-1,Cloudburst catchment,Tamil Nadu,Chennai,URGENT,Flood,flash_flood,True,True,False,True,4,77,water_level_change_m,,103.537,8.209,6.58,64.0,5.0,2.0,2.0,4354.0,-0.342,ok,ELEVATED,
S16,Out-of-season cloudburst,ZONE-2,Neighbouring taluk,Tamil Nadu,Coimbatore,ELEVATED,Flood,,True,True,False,True,2,16,,,45.717,1.658,4.558,43.0,1.0,1.0,4.0,2127.0,-0.267,ok,,
S17,Garbled panic messages,ZONE-1,Embankment breach,Assam,Guwahati,CRITICAL,Flood; Rescue Emergency,implicit_urgency; river_overflow,True,True,False,True,5,199,,,34.408,8.807,4.033,36.0,1.0,1.0,6.0,2944.0,0.756,ok,URGENT,
S17,Garbled panic messages,ZONE-2,Tea-garden lines,Assam,Jorhat,URGENT,Flood,river_overflow,True,True,False,True,3,62,,,86.397,6.035,5.524,51.0,1.0,2.0,6.0,4532.0,0.651,ok,ELEVATED,
S17,Garbled panic messages,ZONE-3,Market town,Assam,Dibrugarh,ELEVATED,Flood,,True,True,False,True,3,15,,,18.736,1.356,6.005,34.0,1.0,0.0,5.0,1269.0,0.949,ok,,
S18,All quiet (do not cry wolf),ZONE-1,Coastal ward,Gujarat,Surat,ROUTINE,Flood,calm,True,True,True,True,2,4,,,7.382,1.778,6.129,24.0,0.0,0.0,2.0,365.0,-0.599,ok,,ELEVATED
S18,All quiet (do not cry wolf),ZONE-2,Industrial belt,Gujarat,Vadodara,ROUTINE,Road Blockage,calm,True,True,False,True,2,8,,,8.806,1.092,6.78,37.0,0.0,1.0,4.0,1369.0,0.638,ok,,ELEVATED
S18,All quiet (do not cry wolf),ZONE-3,Old city,Gujarat,Bharuch,ROUTINE,Medical Emergency,calm,True,True,False,True,1,3,,,12.479,2.886,4.282,30.0,0.0,1.0,2.0,11.0,0.409,ok,,ELEVATED
S19,"Four hazards, one district",ZONE-1,Compound-hazard ward,Uttar Pradesh,Prayagraj,CRITICAL,Flood; Road Blockage; Medical Emergency; Rescue Emergency,river_overflow,True,True,True,True,4,177,,,46.817,8.589,6.566,47.0,3.0,0.0,8.0,3164.0,-0.093,ok,URGENT,
S19,"Four hazards, one district",ZONE-2,Adjacent ward,Uttar Pradesh,Gorakhpur,URGENT,Flood; Medical Emergency,,True,True,False,True,3,68,,,11.206,6.275,6.564,33.0,1.0,0.0,6.0,1955.0,0.057,ok,ELEVATED,
S20,"Slow onset, pre-position now",ZONE-1,Rising-river ward,West Bengal,Howrah,URGENT,Flood,,True,True,False,True,3,25,,,15.578,6.077,5.268,31.0,1.0,0.0,3.0,1023.0,0.34,ok,URGENT,
S20,"Slow onset, pre-position now",ZONE-2,Quiet ward,West Bengal,Murshidabad,ROUTINE,Flood,calm,True,True,False,True,2,5,,,15.983,1.939,4.236,22.0,0.0,1.0,6.0,1594.0,-0.164,ok,,
W01,Flash flood + municipal blackout,ZONE-1,Riverside settlement (battery gauge),Assam,Barpeta,CRITICAL,Flood; Rescue Emergency,battery_backup; flash_flood,True,True,False,True,2,146,water_level_change_m,image,73.734,7.524,5.272,61.0,2.0,2.0,5.0,3468.0,0.967,ok,URGENT,
W01,Flash flood + municipal blackout,ZONE-2,Low-lying colony (grid down),Assam,Barpeta,CRITICAL,Flood; Rescue Emergency,flash_flood; implicit_urgency,False,True,False,False,2,149,water_level_change_m,image; sensors; water_history,,,,,,,,,,ok,URGENT,
W01,Flash flood + municipal blackout,ZONE-3,District hospital (generator),Assam,Barpeta,URGENT,Medical Emergency; Flood,generator_backup; river_overflow,True,True,True,True,4,68,,,12.167,5.868,6.122,32.0,1.0,0.0,6.0,1356.0,-0.155,ok,ELEVATED,
W01,Flash flood + municipal blackout,ZONE-4,Char island (no signal),Assam,Barpeta,CRITICAL,Flood,flash_flood; total_blackout,False,False,False,False,0,0,water_level_change_m,sensors; text; image; water_history,,,,,,,,,,insufficient_evidence,,
