task_id,task,node,agent,tool,trigger
T0,Plan the whole response first,PLAN,coordinator,-,no tool: internal reasoning
T1,Perceive each zone,PERCEIVE,dispatcher,query_sensor_risk_score,zone has sensor readings
T1,Perceive each zone,PERCEIVE,dispatcher,parse_emergency_text,zone has a text report
T1,Perceive each zone,PERCEIVE,dispatcher,predict_visual_flood,zone has an image
T1,Perceive each zone,PERCEIVE,dispatcher,forecast_water_level,zone has a 72 h gauge history
T2,Add historical context,CONTEXTUALISE,dispatcher,get_district_profile,state and district are known
T2,Add historical context,CONTEXTUALISE,dispatcher,recall_precedents,memory holds past decisions for the district
T3,Fuse evidence into a priority,ASSESS,dispatcher,assess_zone,at least one evidence stream exists
T4,Brief the incident log,BRIEF,dispatcher,generate_tactical_briefing,zone has a multi-entry incident log
T5,Ground the response in SOPs,RETRIEVE_SOP,dispatcher,search_sop,fused priority is ELEVATED or higher
T6,Handle zones with no evidence,ESCALATE_EVIDENCE,auditor,escalate_to_human,"no evidence stream, or fusion returned insufficient_evidence"
T7,Rank zones and reason through trade-offs,RANK,coordinator,-,no tool: internal reasoning
T8,Explore allocation plans and reserve,ALLOCATE,allocator,check_resource_inventory,start of allocation
T8,Explore allocation plans and reserve,ALLOCATE,allocator,reserve_resources,a ranked zone needs a resource type that is in stock
T8b,Debate and negotiate contested units,DEBATE,allocator,-,no tool: internal reasoning
T9,Audit proposed actions,AUDIT,auditor,-,no tool: internal reasoning
T10,Hold consequential actions for sign-off,AWAIT_APPROVAL,auditor,escalate_to_human,verdict is requires_human_approval
T11,Close shortfalls,MUTUAL_AID,allocator,request_mutual_aid,need exceeds remaining inventory
T11,Close shortfalls,MUTUAL_AID,allocator,escalate_to_human,a shortfall exists
T12,Issue cleared alerts,ALERT,coordinator,issue_alert,verdict is auto_approved
T13,Commit or release,COMMIT,coordinator,commit_rescue_dispatch,a human approved the action
T13,Commit or release,COMMIT,coordinator,notify_shelter,an approved dispatch includes an evacuation
T13,Commit or release,COMMIT,coordinator,release_resources,a human rejected the action
T14,Reflect and revise,REFLECT,coordinator,-,no tool: internal reasoning
T15,Honour an emergency override,OVERRIDE,commander,recall_dispatch,a committed dispatch is overridden
T15,Honour an emergency override,OVERRIDE,commander,release_resources,a pending action is cancelled
T15,Honour an emergency override,OVERRIDE,commander,issue_alert,a standby alert is stood down
