scenario_id,scenario,zone_id,label,state,district,true_severity,hazards,modifiers,has_sensors,has_text,has_image,has_water_history,text_entries,headcount_reported,beyond_record_fields,evidence_lost,rainfall_mm,river_level_m,river_level_threshold_m,emergency_calls,road_closures,bridge_closures,flood_history_count,population_affected,water_level_change_m,expected_status,expected_min_priority,expected_max_priority
S01,Baseline river overflow,ZONE-1,Riverside ward,Bihar,Muzaffarpur,CRITICAL,Flood; Rescue Emergency,river_overflow,True,True,True,True,5,177,,,38.364,7.354,5.478,42.0,2.0,0.0,5.0,2524.0,1.019,ok,URGENT,
S01,Baseline river overflow,ZONE-2,Market ward,Bihar,Bhagalpur,URGENT,Flood,river_overflow,True,True,False,True,3,50,,,40.141,7.337,5.991,46.0,2.0,1.0,6.0,1448.0,0.821,ok,ELEVATED,
S01,Baseline river overflow,ZONE-3,Upland ward,Bihar,Patna,ELEVATED,Flood,,True,True,False,True,3,23,,,31.1,3.192,5.167,33.0,1.0,0.0,3.0,1023.0,0.527,ok,,
S02,The 2 AM mission,ZONE-1,Riverside settlement,Assam,Dibrugarh,CRITICAL,Flood; Rescue Emergency,flash_flood,True,True,True,True,4,202,water_level_change_m,,44.193,7.883,4.938,30.0,3.0,1.0,5.0,1272.0,1.959,ok,URGENT,
S02,The 2 AM mission,ZONE-2,Low-lying colony,Assam,Dibrugarh,CRITICAL,Flood; Rescue Emergency,flash_flood; implicit_urgency,True,True,False,True,5,199,water_level_change_m,,41.943,8.21,5.248,36.0,2.0,0.0,8.0,2493.0,1.808,ok,URGENT,
S02,The 2 AM mission,ZONE-3,Old town,Assam,Dibrugarh,URGENT,Flood; Medical Emergency,river_overflow,True,True,False,True,4,68,,,39.962,6.164,5.026,26.0,1.0,0.0,4.0,3271.0,1.036,ok,ELEVATED,
S03,Cyclonic coastal landfall,ZONE-1,Coastal block,Odisha,Puri,CRITICAL,Flood; Rescue Emergency,cyclonic_rain,True,True,True,True,4,195,,,31.604,7.059,5.413,29.0,4.0,0.0,2.0,1296.0,0.658,ok,URGENT,
S03,Cyclonic coastal landfall,ZONE-2,Fishing villages,Odisha,Bhubaneswar,CRITICAL,Rescue Emergency; Medical Emergency,cyclonic_rain,True,True,False,True,4,150,,,102.52,9.0,6.091,49.0,4.0,0.0,3.0,3574.0,0.447,ok,URGENT,
S03,Cyclonic coastal landfall,ZONE-3,Highway corridor,Odisha,Kendrapara,URGENT,Road Blockage; Flood,cyclonic_rain,True,True,False,True,4,69,,,90.399,5.574,6.301,42.0,3.0,0.0,1.0,3207.0,0.512,ok,ELEVATED,
S03,Cyclonic coastal landfall,ZONE-4,Inland town,Odisha,Cuttack,ELEVATED,Flood,,True,True,True,True,3,24,,,16.665,2.572,5.014,23.0,1.0,0.0,4.0,498.0,-0.345,ok,,
