pair_id,split,priority,worst_severity,report,summary,total_headcount,entry_count,state,district,zone,all_pass,chk_priority,chk_zone,chk_district,chk_headcount,chk_entry_count,chk_hazard,chk_location,is_drifted,num_drift,entity_drift,priority_mismatch,is_verified
SLM-000021,train,ELEVATED,MEDIUM,"INCIDENT LOG | Tamil Nadu / Thanjavur / ZONE-5 | 5 entries
[26-03-2025 00:02] ERSS-044303 | Flooding reported (Situation update) in the riverside settlement in Thanjavur, Tamil Nadu. 11 people affected, minor injuries reported. Dispatch requested for rescue boat.
[28-03-2025 16:21] ERSS-028997 | Medical emergency reported (Incident reported) in the old town area in Thanjavur, Tamil Nadu. 5 individuals affected, medical assistance requested. Please dispatch paramedic team and emergency medical team.
[01-04-2025 17:15] ERSS-056195 | Rescue operation required (Situation update) close to the river bank in Thanjavur, Tamil Nadu. 15 residents affected, some injuries reported. Dispatch requested for fire and rescue unit and NDRF rescue team.
[03-04-2025 04:03] ERSS-018794 | Waterlogging reported (Emergency report received) near the industrial area in Thanjavur, Tamil Nadu. 11 individuals affected, no further details available. Response team requested:  road clearance team and drainage team.
[03-04-2025 13:45] ERSS-020295 | Waterlogging reported (Emergency report received) at the railway crossing in Thanjavur, Tamil Nadu. 3 residents affected, minor injuries reported. Please dispatch water pump.","ELEVATED - ZONE-5 Thanjavur (Tamil Nadu): flooding and medical emergencies plus 1 more, 45 affected across 5 reports. Deploy rescue boat and paramedic team plus 1 more to riverside settlement; IC to confirm ACCESS. stage nearby, monitor ACCESS.",45,5,Tamil Nadu,Thanjavur,ZONE-5,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000052,test,ROUTINE,LOW,"INCIDENT LOG | Kerala / Kottayam / ZONE-2 | 5 entries
[22-05-2025 12:11] ERSS-043931 | Rescue operation required (Incident reported) at the highway junction in Kottayam, Kerala. 4 residents affected, situation being monitored. Dispatch requested for ambulance and fire and rescue unit.
[22-05-2025 12:38] ERSS-044520 | Flooding reported (Situation update) near the local market in Kottayam, Kerala. 1 residents affected, situation being monitored. Dispatch requested for rescue boat.
[28-05-2025 04:14] ERSS-046780 | Road blockage reported (Situation update) at the railway crossing in Kottayam, Kerala. 5 people affected, no injuries reported. Response team requested:  earthmover (JCB).
[01-06-2025 15:45] ERSS-027047 | Waterlogging reported (Emergency report received) on the national highway in Kottayam, Kerala. 6 individuals affected, multiple injuries reported. Please dispatch water pump.
[01-06-2025 15:47] ERSS-032539 | Medical emergency reported (Emergency report received) in the low-lying area in Kottayam, Kerala. 6 persons affected, residents moved to safer ground. Dispatch requested for emergency medical team and ambulance.","ROUTINE: rescue emergencies and flooding plus 2 more, ZONE-2 Kottayam, Kerala. 5 reports, 22 affected. Dispatch ambulance and fire and rescue unit plus 1 more via ACCESS route to highway junction. monitor only; IC on STANDBY.",22,5,Kerala,Kottayam,ZONE-2,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000108,validation,ELEVATED,MEDIUM,"INCIDENT LOG | Maharashtra / Nagpur / ZONE-3 | 5 entries
[14-08-2025 07:05] ERSS-032901 | Rescue operation required (Emergency report received) in the riverside settlement in Nagpur, Maharashtra. 7 people affected, no injuries reported. Please dispatch rescue rope and ladder.
[19-08-2025 00:10] ERSS-015109 | Waterlogging reported (Emergency report received) in a residential colony in Nagpur, Maharashtra. 9 people affected, residents moved to safer ground. Response team requested:  water pump and drainage team.
[19-08-2025 00:31] ERSS-029339 | Flooding reported (Situation update) in the riverside settlement in Nagpur, Maharashtra. 4 residents affected, casualties reported. Response team requested:  life jackets.
[25-08-2025 08:01] ERSS-001122 | Medical emergency reported (Emergency report received) in the old town area in Nagpur, Maharashtra. 4 people affected, no injuries reported. Dispatch requested for medical first-aid kit and paramedic team.
[25-08-2025 08:49] ERSS-026603 | Medical emergency reported (Incident reported) near the local market in Nagpur, Maharashtra. 7 persons affected, no further details available. Please dispatch medical first-aid kit.","ELEVATED: ZONE-3 Nagpur, Maharashtra -- rescue emergencies and flooding plus 1 more. 5 reports, 31 affected. Dispatch medical first-aid kit and rescue rope and ladder plus 1 more via ACCESS route to riverside settlement. stage nearby, monitor ACCESS.",31,5,Maharashtra,Nagpur,ZONE-3,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000138,validation,ROUTINE,LOW,"INCIDENT LOG | Tamil Nadu / Madurai / ZONE-1 | 5 entries
[13-01-2025 00:15] ERSS-036215 | Flooding reported (Situation update) near the village school in Madurai, Tamil Nadu. 1 people affected, no injuries reported. Response team requested:  rescue boat and NDRF flood rescue team.
[21-01-2025 15:09] ERSS-023541 | Flooding reported (Incident reported) near the main bridge in Madurai, Tamil Nadu. 4 individuals affected, minor injuries reported. Please dispatch relief supplies.
[25-01-2025 00:05] ERSS-011615 | Flooding reported (Situation update) near the industrial area in Madurai, Tamil Nadu. 5 individuals affected, some injuries reported. Please dispatch rescue boat and NDRF flood rescue team.
[25-01-2025 00:17] ERSS-017928 | Medical emergency reported (Emergency report received) at the railway crossing in Madurai, Tamil Nadu. 3 people affected, no further details available. Response team requested:  ambulance.
[25-01-2025 00:20] ERSS-031416 | Rescue operation required (Emergency report received) in the low-lying area in Madurai, Tamil Nadu. 4 people affected, residents moved to safer ground. Response team requested:  rescue rope and ladder.","ROUTINE. flooding and medical emergencies plus 1 more in ZONE-1 Madurai, Tamil Nadu; 17 affected, 5 reports. Send rescue boat and NDRF flood rescue team plus 1 more to village school; submit SITREP on arrival. routine watch; CAS count zero.",17,5,Tamil Nadu,Madurai,ZONE-1,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000219,train,ROUTINE,LOW,"INCIDENT LOG | Kerala / Kozhikode / ZONE-1 | 6 entries
[21-06-2025 17:43] ERSS-022111 | Waterlogging reported (Incident reported) in the old town area in Kozhikode, Kerala. 5 individuals affected, some injuries reported. Response team requested:  road clearance team.
[30-06-2025 22:23] ERSS-026295 | Waterlogging reported (Incident reported) at the highway junction in Kozhikode, Kerala. 4 residents affected, medical assistance requested. Dispatch requested for water pump.
[01-07-2025 01:28] ERSS-011594 | Road blockage reported (Emergency report received) near the village school in Kozhikode, Kerala. 6 people affected, no further details available. Dispatch requested for traffic police team.
[04-07-2025 12:59] ERSS-016848 | Rescue operation required (Emergency report received) on the national highway in Kozhikode, Kerala. 3 people affected, situation being monitored. Dispatch requested for ambulance and NDRF rescue team.
[05-07-2025 21:48] ERSS-009561 | Waterlogging reported (Emergency report received) close to the river bank in Kozhikode, Kerala. 1 residents affected, minor injuries reported. Dispatch requested for sandbags.
[05-07-2025 21:50] ERSS-054917 | Rescue operation required (Emergency report received) near the industrial area in Kozhikode, Kerala. 4 individuals affected, no injuries reported. Please dispatch ambulance and rescue rope and ladder.","ROUTINE: ZONE-1 Kozhikode, Kerala -- flooding and road blockages plus 1 more. 6 reports, 23 affected. Send ambulance and road clearance team plus 1 more to old town area; submit SITREP on arrival. monitor only; IC on STANDBY.",23,6,Kerala,Kozhikode,ZONE-1,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000278,train,ELEVATED,MEDIUM,"INCIDENT LOG | Gujarat / Bharuch / ZONE-1 | 5 entries
[26-02-2025 10:18] ERSS-005650 | Rescue operation required (Emergency report received) near the industrial area in Bharuch, Gujarat. 3 persons affected, some injuries reported. Please dispatch NDRF rescue team.
[28-02-2025 00:29] ERSS-005445 | Rescue operation required (Emergency report received) near the main bridge in Bharuch, Gujarat. 12 residents affected, multiple injuries reported. Response team requested:  NDRF rescue team.
[28-02-2025 00:58] ERSS-058998 | Medical emergency reported (Situation update) near the village school in Bharuch, Gujarat. 6 individuals affected, no further details available. Response team requested:  ambulance.
[09-03-2025 01:06] ERSS-045559 | Flooding reported (Situation update) in the old town area in Bharuch, Gujarat. 2 people affected, situation being monitored. Please dispatch NDRF flood rescue team and relief supplies.
[09-03-2025 01:07] ERSS-028227 | Medical emergency reported (Situation update) in the hilly terrain in Bharuch, Gujarat. 6 residents affected, situation being monitored. Dispatch requested for emergency medical team.","ELEVATED: rescue emergencies and medical emergencies plus 1 more, ZONE-1 Bharuch, Gujarat. 5 reports, 29 affected. NDRF rescue team and ambulance plus 1 more to industrial area; STAGING at nearest safe point. STANDBY; update CAS count on change.",29,5,Gujarat,Bharuch,ZONE-1,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000357,train,ROUTINE,LOW,"INCIDENT LOG | Odisha / Kendrapara / ZONE-1 | 5 entries
[09-11-2025 05:17] ERSS-041296 | Flooding reported (Incident reported) in a residential colony in Kendrapara, Odisha. 2 persons affected, no further details available. Please dispatch water pump.
[09-11-2025 12:57] ERSS-016583 | Rescue operation required (Situation update) close to the river bank in Kendrapara, Odisha. 4 residents affected, some injuries reported. Dispatch requested for ambulance and fire and rescue unit.
[19-11-2025 23:13] ERSS-036748 | Flooding reported (Situation update) in the riverside settlement in Kendrapara, Odisha. 1 residents affected, no further details available. Please dispatch relief supplies and rescue boat.
[19-11-2025 23:40] ERSS-022060 | Waterlogging reported (Emergency report received) in the low-lying area in Kendrapara, Odisha. 3 residents affected, situation being monitored. Response team requested:  sandbags.
[19-11-2025 23:58] ERSS-010358 | Rescue operation required (Incident reported) near the industrial area in Kendrapara, Odisha. 1 individuals affected, situation being monitored. Response team requested:  rescue rope and ladder and fire and rescue unit.","ROUTINE. flooding and rescue emergencies in ZONE-1 Kendrapara, Odisha; 11 affected, 5 reports. fire and rescue unit and water pump plus 1 more to residential colony; STAGING at nearest safe point. routine watch; CAS count zero.",11,5,Odisha,Kendrapara,ZONE-1,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000426,test,ROUTINE,LOW,"INCIDENT LOG | Karnataka / Mangaluru / ZONE-2 | 5 entries
[26-04-2025 15:36] ERSS-006814 | Road blockage reported (Situation update) in a residential colony in Mangaluru, Karnataka. 6 individuals affected, situation being monitored. Dispatch requested for earthmover (JCB) and traffic police team.
[01-05-2025 20:33] ERSS-018068 | Flooding reported (Emergency report received) near the village school in Mangaluru, Karnataka. 2 persons affected, no injuries reported. Response team requested:  relief supplies and water pump.
[05-05-2025 15:33] ERSS-010167 | Flooding reported (Incident reported) in a residential colony in Mangaluru, Karnataka. 4 persons affected, residents moved to safer ground. Dispatch requested for water pump.
[05-05-2025 15:50] ERSS-011414 | Rescue operation required (Emergency report received) on the national highway in Mangaluru, Karnataka. 3 individuals affected, residents moved to safer ground. Dispatch requested for rescue rope and ladder.
[11-05-2025 06:05] ERSS-056805 | Flooding reported (Incident reported) in the low-lying area in Mangaluru, Karnataka. 5 persons affected, no injuries reported. Dispatch requested for relief supplies.","ROUTINE - ZONE-2 Mangaluru (Karnataka): road blockages and flooding plus 1 more, 20 affected across 5 reports. relief supplies and water pump plus 1 more to residential colony; STAGING at nearest safe point. monitor only; IC on STANDBY.",20,5,Karnataka,Mangaluru,ZONE-2,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000452,train,ROUTINE,LOW,"INCIDENT LOG | Kerala / Kozhikode / ZONE-5 | 5 entries
[25-02-2025 19:29] ERSS-011326 | Road blockage reported (Emergency report received) at the railway crossing in Kozhikode, Kerala. 4 individuals affected, no injuries reported. Response team requested:  traffic police team.
[26-02-2025 01:54] ERSS-059498 | Waterlogging reported (Emergency report received) in the hilly terrain in Kozhikode, Kerala. 6 persons affected, no further details available. Dispatch requested for sandbags and road clearance team.
[03-03-2025 19:37] ERSS-017790 | Flooding reported (Incident reported) at the railway crossing in Kozhikode, Kerala. 4 individuals affected, no injuries reported. Dispatch requested for NDRF flood rescue team.
[03-03-2025 21:22] ERSS-057187 | Road blockage reported (Incident reported) in a residential colony in Kozhikode, Kerala. 6 persons affected, no injuries reported. Response team requested:  tow truck.
[03-03-2025 21:24] ERSS-022373 | Waterlogging reported (Situation update) in the old town area in Kozhikode, Kerala. 1 residents affected, some injuries reported. Dispatch requested for sandbags.","ROUTINE: road blockages and flooding, ZONE-5 Kozhikode, Kerala. 5 reports, 21 affected. Deploy sandbags and traffic police team plus 1 more to railway crossing; IC to confirm ACCESS. monitor only; IC on STANDBY.",21,5,Kerala,Kozhikode,ZONE-5,True,True,True,True,True,True,True,True,False,False,False,False,True
SLM-000526,train,ELEVATED,MEDIUM,"INCIDENT LOG | Gujarat / Vadodara / ZONE-5 | 6 entries
[24-07-2025 01:57] ERSS-058054 | Flooding reported (Situation update) near the local market in Vadodara, Gujarat. 14 persons affected, no injuries reported. Response team requested:  rescue boat and life jackets.
[26-07-2025 07:32] ERSS-059367 | Rescue operation required (Emergency report received) near the government hospital in Vadodara, Gujarat. 8 individuals affected, minor injuries reported. Dispatch requested for rescue rope and ladder.
[30-07-2025 09:53] ERSS-052054 | Waterlogging reported (Incident reported) at the railway crossing in Vadodara, Gujarat. 3 residents affected, minor injuries reported. Please dispatch drainage team.
[30-07-2025 13:30] ERSS-054657 | Rescue operation required (Emergency report received) near the main bridge in Vadodara, Gujarat. 2 residents affected, minor injuries reported. Please dispatch fire and rescue unit.
[01-08-2025 14:06] ERSS-032978 | Medical emergency reported (Incident reported) at the highway junction in Vadodara, Gujarat. 13 people affected, medical assistance requested. Response team requested:  emergency medical team.
[01-08-2025 14:26] ERSS-047948 | Rescue operation required (Incident reported) in a residential colony in Vadodara, Gujarat. 13 residents affected, minor injuries reported. Please dispatch fire and rescue unit and rescue rope and ladder.","ELEVATED. flooding and rescue emergencies plus 1 more in ZONE-5 Vadodara, Gujarat; 53 affected, 6 reports. Deploy rescue rope and ladder and fire and rescue unit plus 1 more to local market; IC to confirm ACCESS. pre-position at STAGING area; SITREP every 30 min.",53,6,Gujarat,Vadodara,ZONE-5,True,True,True,True,True,True,True,True,False,False,False,False,True
