suite,variant,scenario_id,scenario,archetype,zone_id,true_severity,true_index,status,priority,priority_index,basis,decision_confidence,confident,low_confidence_escalated,exact_match,within_one,critical_miss,under_triaged,confident_under_triage,over_triage,expected_status,expected_human_review,expected_conflict,human_review,escalated,conflicts_surfaced,evidence_lost,tools_called,tools_required,tool_true_positive,tool_called_n,tool_required_n,headcount_true,headcount_estimate,allocated,served_strict,alerted,escalation_categories,unsafe_commits,goal_passed,failures
cvae,agent,S01,Baseline river overflow,baseline_river_overflow,ZONE-1,CRITICAL,3,ok,CRITICAL,3.0,corroborated,0.982,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,8,8,8,177,177,"{""rescue_boats"": 2, ""ambulances"": 2, ""shelter_beds"": 150}",True,False,approval; shortage,0,True,
cvae,agent,S01,Baseline river overflow,baseline_river_overflow,ZONE-2,URGENT,2,ok,URGENT,2.0,corroborated,0.807,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,7,7,7,50,50,"{""rescue_boats"": 1, ""ambulances"": 2, ""shelter_beds"": 50}",True,False,approval,0,True,
cvae,agent,S01,Baseline river overflow,baseline_river_overflow,ZONE-3,ELEVATED,1,ok,ELEVATED,1.0,corroborated,0.857,True,False,True,True,False,False,False,False,ok,,,False,False,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,7,7,7,23,23,{},False,True,,0,True,
cvae,agent,S02,The 2 AM mission,night_flash_flood,ZONE-1,CRITICAL,3,ok,CRITICAL,3.0,corroborated,0.955,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,8,8,8,202,202,"{""shelter_beds"": 1}",True,False,approval; shortage,0,True,
cvae,agent,S02,The 2 AM mission,night_flash_flood,ZONE-2,CRITICAL,3,ok,CRITICAL,3.0,corroborated,0.907,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,7,7,7,199,199,"{""rescue_boats"": 1, ""ambulances"": 1, ""shelter_beds"": 38}",True,False,approval; shortage,0,True,
cvae,agent,S02,The 2 AM mission,night_flash_flood,ZONE-3,URGENT,2,ok,URGENT,2.0,corroborated,0.764,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,7,7,7,68,68,"{""shelter_beds"": 1}",True,False,approval; shortage,0,True,
cvae,agent,S03,Cyclonic coastal landfall,cyclonic_rain,ZONE-1,CRITICAL,3,ok,CRITICAL,3.0,corroborated,0.929,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,8,8,8,195,195,"{""rescue_boats"": 1, ""ambulances"": 1, ""shelter_beds"": 1}",True,False,approval; shortage,0,True,
cvae,agent,S03,Cyclonic coastal landfall,cyclonic_rain,ZONE-2,CRITICAL,3,ok,CRITICAL,3.0,corroborated,0.933,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,7,7,7,150,150,"{""rescue_boats"": 2, ""ambulances"": 1, ""shelter_beds"": 149}",True,False,approval; shortage,0,True,
cvae,agent,S03,Cyclonic coastal landfall,cyclonic_rain,ZONE-3,URGENT,2,ok,URGENT,2.0,corroborated,0.812,True,False,True,True,False,False,False,False,ok,True,,True,True,0,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; query_sensor_risk_score; search_sop,7,7,7,69,69,"{""rescue_boats"": 1, ""ambulances"": 1}",True,False,approval; shortage,0,True,
cvae,agent,S03,Cyclonic coastal landfall,cyclonic_rain,ZONE-4,ELEVATED,1,ok,ELEVATED,1.0,corroborated,0.623,True,False,True,True,False,False,False,False,ok,,,True,False,1,,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,assess_zone; forecast_water_level; generate_tactical_briefing; get_district_profile; parse_emergency_text; predict_visual_flood; query_sensor_risk_score; search_sop,8,8,8,24,24,{},False,True,,0,True,
